		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  257  217  241  278  238  244  233 10.473580 0.233346 SUCCESS   0
000000011  242  251  224  242  267  214  261  233  9.746991 0.283235 SUCCESS   1
000000101  259  255  199  245  272  250  240  249 13.679680 0.090506 SUCCESS   2
000000111  243  257  237  271  257  240  242  246  4.791145 0.779648 SUCCESS   3
000001001  250  264  243  248  255  254  254  245  3.219340 0.919848 SUCCESS   4
000001011  226  239  214  252  251  233  238  245  6.497464 0.591689 SUCCESS   5
000001101  241  255  216  226  288  259  259  241 15.357402 0.052557 SUCCESS   6
000001111  236  242  231  269  268  244  220  243  8.536362 0.382902 SUCCESS   7
000010001  248  232  274  242  255  230  260  239  7.012220 0.535315 SUCCESS   8
000010011  241  237  236  245  231  246  256  259  2.818975 0.945199 SUCCESS   9
000010101  270  256  241  227  249  251  245  240  5.094067 0.747476 SUCCESS  10
000010111  245  261  232  260  250  269  260  225  8.285339 0.406105 SUCCESS  11
000011001  239  246  227  263  252  251  238  253  3.833657 0.871811 SUCCESS  12
000011011  238  232  205  242  275  235  257  237 12.595092 0.126561 SUCCESS  13
000011101  227  238  258  259  221  243  224  235  7.494141 0.484373 SUCCESS  14
000011111  240  245  256  258  263  246  205  235  9.850789 0.275655 SUCCESS  15
000100011  237  230  275  249  247  226  267  243  8.848816 0.355210 SUCCESS  16
000100101  240  241  247  241  255  247  241  243  0.772663 0.999317 SUCCESS  17
000100111  272  225  235  260  224  257  259  255 10.118758 0.256789 SUCCESS  18
000101001  242  249  262  241  264  243  263  233  5.227522 0.733004 SUCCESS  19
000101011  247  236  257  227  250  270  280  256 11.292316 0.185680 SUCCESS  20
000101101  237  231  246  254  265  209  233  286 16.399623 0.037005 SUCCESS  21
000101111  259  237  247  256  237  235  248  249  2.517112 0.960928 SUCCESS  22
000110011  246  215  252  252  251  248  257  240  5.172445 0.738996 SUCCESS  23
000110101  239  238  240  260  244  237  227  256  3.465067 0.901884 SUCCESS  24
000110111  235  229  220  242  257  224  282  212 16.675006 0.033677 SUCCESS  25
000111001  230  264  236  236  232  226  259  238  6.189246 0.626043 SUCCESS  26
000111011  227  234  253  265  228  235  238  233  5.994359 0.647864 SUCCESS  27
000111101  229  228  232  244  226  239  266  264  7.897684 0.443528 SUCCESS  28
000111111  240  240  268  247  238  247  226  243  4.185301 0.840030 SUCCESS  29
001000011  253  244  243  255  216  236  240  240  4.615323 0.797788 SUCCESS  30
001000101  241  224  262  256  254  236  257  257  5.805828 0.668972 SUCCESS  31
001000111  222  221  266  243  262  228  274  232 13.231652 0.104124 SUCCESS  32
001001011  242  263  252  240  221  242  249  231  4.978618 0.759859 SUCCESS  33
001001101  228  240  276  278  253  242  227  216 15.286437 0.053809 SUCCESS  34
001001111  248  244  263  258  224  261  244  239  5.422409 0.711620 SUCCESS  35
001010011  231  247  263  215  252  250  271  245  9.340270 0.314409 SUCCESS  36
001010101  271  259  260  233  256  252  229  248  7.482490 0.485579 SUCCESS  37
001010111  225  238  248  208  252  257  245  244  8.269452 0.407602 SUCCESS  38
001011011  244  249  238  222  243  206  250  264 10.316823 0.243489 SUCCESS  39
001011101  279  273  256  231  220  250  254  207 18.877016 0.015531 SUCCESS  40
001011111  253  267  256  264  226  229  222  243  9.261892 0.320687 SUCCESS  41
001100101  238  261  238  238  252  261  240  260  4.292277 0.829837 SUCCESS  42
001100111  223  229  242  245  239  247  239  257  3.842131 0.871079 SUCCESS  43
001101011  237  244  284  231  228  229  217  254 13.282492 0.102493 SUCCESS  44
001101101  235  243  199  260  265  250  232  244 12.668175 0.123788 SUCCESS  45
001101111  227  238  249  240  241  226  244  232  3.630297 0.888845 SUCCESS  46
001110101  269  243  244  254  238  237  207  253  9.587056 0.295213 SUCCESS  47
001110111  226  219  237  231  218  242  197  227 18.573035 0.017318 SUCCESS  48
001111011  229  226  225  202  208  236  290  234 26.587757 0.000833 FAILURE  49
001111101  277  258  258  236  265  247  233  261 10.101812 0.257953 SUCCESS  50
001111111  257  222  261  262  254  252  247  275 10.085924 0.259047 SUCCESS  51
010000011  259  246  244  251  251  272  232  243  5.273066 0.728031 SUCCESS  52
010000111  234  252  252  250  220  245  233  245  4.102686 0.847742 SUCCESS  53
010001011  269  252  267  248  239  231  257  239  6.819451 0.556232 SUCCESS  54
010001111  242  256  249  220  252  221  260  241  6.820510 0.556116 SUCCESS  55
010010011  216  256  257  258  232  253  264  261  9.303199 0.317368 SUCCESS  56
010010111  260  239  266  259  211  250  239  219 11.724457 0.163928 SUCCESS  57
010011011  231  246  256  252  264  234  228  244  4.814447 0.777212 SUCCESS  58
010011111  255  233  268  258  253  272  246  248  7.960175 0.437370 SUCCESS  59
010100011  225  268  233  245  258  249  240  222  7.554513 0.478149 SUCCESS  60
010100111  257  230  274  241  252  260  252  247  6.998450 0.536800 SUCCESS  61
010101011  258  248  237  244  245  267  228  270  7.252651 0.509635 SUCCESS  62
010101111  238  236  223  242  256  264  232  257  5.944579 0.653440 SUCCESS  63
010110011  255  248  256  246  237  257  222  250  4.314520 0.827690 SUCCESS  64
010110111  253  274  250  239  218  223  229  273 13.656378 0.091173 SUCCESS  65
010111011  243  240  259  216  224  257  252  218  9.938700 0.269355 SUCCESS  66
010111111  260  229  255  235  223  265  230  243  7.478253 0.486017 SUCCESS  67
011000111  257  242  233  234  226  241  247  250  3.294541 0.914538 SUCCESS  68
011001111  260  256  250  231  196  239  236  274 16.525664 0.035445 SUCCESS  69
011010111  219  210  254  222  243  237  240  234 10.822046 0.211988 SUCCESS  70
011011111  236  246  255  241  248  250  213  229  6.120400 0.633747 SUCCESS  71
011101111  241  229  233  235  232  243  226  239  4.019012 0.855404 SUCCESS  72
011111111  254  227  271  277  237  260  224  254 12.706305 0.122362 SUCCESS  73
100000000  260  257  217  241  278  238  244  233 10.473580 0.233346 SUCCESS  74
100010000  234  239  251  229  257  242  250  256  3.180151 0.922548 SUCCESS  75
100100000  247  238  248  273  248  267  243  239  6.187128 0.626280 SUCCESS  76
100101000  245  267  235  229  257  248  266  255  6.836398 0.554383 SUCCESS  77
100110000  267  268  226  251  262  245  234  227  9.257655 0.321029 SUCCESS  78
100111000  233  224  230  231  249  254  260  251  5.597172 0.692252 SUCCESS  79
101000000  273  265  240  236  281  241  258  244 12.348306 0.136327 SUCCESS  80
101000100  249  254  271  252  272  239  246  244  7.254769 0.509411 SUCCESS  81
101001000  240  241  239  257  266  227  259  240  5.206339 0.735312 SUCCESS  82
101001100  251  257  213  221  250  251  226  253  9.344507 0.314072 SUCCESS  83
101010000  281  247  246  242  234  230  233  238  7.792826 0.453965 SUCCESS  84
101010100  255  242  250  258  267  225  231  253  6.312110 0.612315 SUCCESS  85
101011000  230  250  247  256  224  263  243  229  5.823833 0.666958 SUCCESS  86
101011100  219  228  234  235  240  261  243  242  5.866200 0.662216 SUCCESS  87
101100000  230  247  219  261  231  226  224  240  8.670876 0.370816 SUCCESS  88
101100100  241  210  238  233  242  230  251  263  8.232381 0.411106 SUCCESS  89
101101000  245  281  238  280  270  259  263  242 16.678184 0.033640 SUCCESS  90
101101100  251  226  211  215  233  249  259  267 13.614012 0.092398 SUCCESS  91
