		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  263  237  245  256  207  233  239  268 11.214997 0.189812 SUCCESS   0
000000011  262  247  246  261  208  240  226  236  9.882564 0.273365 SUCCESS   1
000000101  270  243  243  226  231  234  234  252  6.100276 0.636000 SUCCESS   2
000000111  275  246  228  270  215  234  224  207 19.575007 0.012069 SUCCESS   3
000001001  245  259  244  242  235  231  245  234  2.480041 0.962655 SUCCESS   4
000001011  231  258  244  249  241  231  237  264  4.306046 0.828509 SUCCESS   5
000001101  244  242  233  231  240  264  241  233  3.584753 0.892513 SUCCESS   6
000001111  251  240  235  266  228  247  227  224  6.747428 0.564112 SUCCESS   7
000010001  228  259  240  244  215  267  247  285 15.035415 0.058460 SUCCESS   8
000010011  235  245  257  242  224  235  239  228  4.359005 0.823368 SUCCESS   9
000010101  252  256  234  235  228  241  241  253  3.165323 0.923558 SUCCESS  10
000010111  242  253  224  272  232  272  263  252 11.047648 0.199014 SUCCESS  11
000011001  249  208  245  254  241  235  245  226  7.835193 0.449733 SUCCESS  12
000011011  246  259  237  241  235  251  244  221  4.027485 0.854635 SUCCESS  13
000011101  279  265  216  247  236  262  246  240 12.105757 0.146547 SUCCESS  14
000011111  251  211  253  253  264  270  237  213 14.345897 0.073183 SUCCESS  15
000100011  231  226  237  244  239  261  261  256  5.458421 0.707642 SUCCESS  16
000100101  239  279  255  243  244  264  213  232 12.171425 0.143718 SUCCESS  17
000100111  238  264  240  240  224  250  225  209 10.615508 0.224451 SUCCESS  18
000101001  235  210  249  217  211  249  225  261 16.009849 0.042239 SUCCESS  19
000101011  248  249  242  241  229  242  237  248  1.491838 0.992843 SUCCESS  20
000101101  227  240  265  238  260  250  249  249  4.735009 0.785487 SUCCESS  21
000101111  252  214  253  255  234  263  266  230  9.758641 0.282376 SUCCESS  22
000110011  240  214  269  262  247  248  248  239  8.165653 0.417458 SUCCESS  23
000110101  273  239  219  265  247  245  251  233  8.927195 0.348475 SUCCESS  24
000110111  251  256  237  249  230  250  242  249  2.224782 0.973333 SUCCESS  25
000111001  239  255  261  260  246  248  253  245  3.301955 0.914005 SUCCESS  26
000111011  224  246  232  227  252  239  264  229  6.612913 0.578912 SUCCESS  27
000111101  240  227  256  261  237  246  264  257  5.724272 0.678086 SUCCESS  28
000111111  271  219  261  247  251  243  224  212 13.269782 0.102898 SUCCESS  29
001000011  263  226  244  244  228  235  245  239  4.470217 0.812405 SUCCESS  30
001000101  202  246  250  253  267  229  248  263 12.771973 0.119940 SUCCESS  31
001000111  230  217  231  253  243  243  222  256  7.708093 0.462491 SUCCESS  32
001001011  244  270  258  247  246  256  222  250  6.519707 0.589223 SUCCESS  33
001001101  251  237  256  227  257  263  227  249  5.810064 0.668498 SUCCESS  34
001001111  234  250  239  259  260  251  246  208  8.441037 0.391615 SUCCESS  35
001010011  226  231  228  212  214  223  238  263 14.999403 0.059157 SUCCESS  36
001010101  252  255  227  267  239  234  262  231  6.852285 0.552651 SUCCESS  37
001010111  272  236  217  231  245  261  212  268 15.415656 0.051550 SUCCESS  38
001011011  258  261  257  228  260  256  238  286 13.079132 0.109156 SUCCESS  39
001011101  227  257  251  268  233  234  235  259  6.808859 0.557389 SUCCESS  40
001011111  234  228  234  229  244  260  255  247  4.543300 0.805086 SUCCESS  41
