		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  212  257  245  230  239  255  247  253  6.904185 0.547005 SUCCESS   0
000000011  227  247  244  236  257  216  228  253  7.046113 0.531666 SUCCESS   1
000000101  203  253  235  236  232  247  261  232 10.618686 0.224255 SUCCESS   2
000000111  253  255  238  244  255  240  233  257  2.793555 0.946638 SUCCESS   3
000001001  246  248  258  236  245  249  274  232  5.681905 0.682814 SUCCESS   4
000001011  221  251  231  220  233  249  229  251  7.456011 0.488324 SUCCESS   5
000001101  211  211  273  291  253  231  251  260 24.470480 0.001910 FAILURE   6
000001111  245  262  220  238  244  266  209  263 12.745494 0.120912 SUCCESS   7
000010001  243  244  244  259  229  219  257  206 11.446955 0.177637 SUCCESS   8
000010011  259  233  253  238  230  249  261  270  6.943374 0.542754 SUCCESS   9
000010101  224  231  242  248  226  255  251  255  5.122664 0.744389 SUCCESS  10
000010111  246  226  253  237  255  261  211  258  9.127377 0.331665 SUCCESS  11
000011001  240  226  211  234  265  228  238  239  9.764996 0.281909 SUCCESS  12
000011011  233  220  268  255  250  247  226  259  8.416676 0.393861 SUCCESS  13
000011101  273  242  257  275  237  267  243  244 10.729898 0.217478 SUCCESS  14
000011111  255  254  212  264  245  250  215  261 11.909811 0.155273 SUCCESS  15
000100011  242  259  224  235  246  226  257  234  5.568574 0.695431 SUCCESS  16
000100101  261  239  263  232  247  243  228  227  5.834425 0.665773 SUCCESS  17
000100111  240  232  229  223  225  252  258  266  8.210138 0.413217 SUCCESS  18
000101001  235  269  259  250  246  265  239  210 10.963974 0.203749 SUCCESS  19
000101011  254  227  213  261  227  258  266  251 11.252068 0.187822 SUCCESS  20
000101101  236  256  230  240  240  246  246  245  1.899617 0.983936 SUCCESS  21
000101111  231  229  248  253  255  236  220  239  5.454184 0.708111 SUCCESS  22
000110011  228  244  225  252  259  221  216  257 10.170658 0.253252 SUCCESS  23
000110101  238  266  281  224  236  215  253  241 13.911638 0.084098 SUCCESS  24
000110111  251  257  243  240  246  254  238  265  3.413168 0.905823 SUCCESS  25
000111001  236  224  235  258  258  268  249  232  7.118136 0.523942 SUCCESS  26
000111011  246  240  250  240  252  280  240  253  6.426500 0.599571 SUCCESS  27
000111101  255  254  239  230  252  236  226  255  4.306046 0.828509 SUCCESS  28
000111111  239  253  252  232  226  246  244  262  4.091035 0.848818 SUCCESS  29
001000011  271  260  238  254  255  254  241  248  5.718976 0.678677 SUCCESS  30
001000101  252  242  241  275  237  222  250  215 10.390964 0.238650 SUCCESS  31
001000111  235  233  213  244  259  238  268  232  9.115727 0.332628 SUCCESS  32
001001011  260  241  258  230  244  251  285  251 10.249036 0.247980 SUCCESS  33
001001101  253  230  248  243  249  227  243  265  4.442679 0.815140 SUCCESS  34
001001111  253  252  220  240  241  255  253  260  5.078179 0.749188 SUCCESS  35
001010011  246  269  274  257  234  262  251  219 11.782711 0.161165 SUCCESS  36
001010101  247  254  278  233  224  246  224  247  9.315909 0.316351 SUCCESS  37
001010111  240  247  243  231  233  253  251  260  2.968317 0.936330 SUCCESS  38
001011011  260  236  251  230  246  245  245  224  4.130224 0.845187 SUCCESS  39
001011101  246  266  218  250  225  244  253  235  7.316201 0.502933 SUCCESS  40
001011111  232  224  257  268  270  236  236  237  9.067005 0.336675 SUCCESS  41
001100101  231  238  242  232  258  212  233  224  8.958970 0.345769 SUCCESS  42
001100111  233  218  220  243  234  260  227  249  8.732308 0.365379 SUCCESS  43
001101011  265  263  253  240  236  224  244  220  8.222848 0.412010 SUCCESS  44
001101101  235  264  273  235  226  255  243  248  7.873323 0.445941 SUCCESS  45
001101111  248  250  233  236  223  244  242  258  3.739391 0.879838 SUCCESS  46
001110101  270  235  249  265  235  248  241  258  6.409553 0.601457 SUCCESS  47
001110111  250  235  248  237  241  240  247  251  1.126425 0.997317 SUCCESS  48
001111011  261  235  239  236  262  255  224  271  8.580847 0.378878 SUCCESS  49
001111101  259  262  220  265  259  235  248  213 12.061272 0.148491 SUCCESS  50
001111111  217  266  241  244  256  234  242  258  7.052468 0.530983 SUCCESS  51
010000011  249  233  249  251  263  241  243  239  2.593372 0.957235 SUCCESS  52
010000111  263  249  253  251  230  246  247  251  3.239464 0.918443 SUCCESS  53
010001011  229  251  246  265  258  241  232  244  4.510466 0.808385 SUCCESS  54
