		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  254  258  240  243  256  223  252  237  4.272153 0.831772 SUCCESS   0
000000011  252  236  248  247  250  254  221  227  4.708530 0.788226 SUCCESS   1
000000101  261  263  227  270  313  262  264  223 31.810512 0.000101 FAILURE   2
000000111  249  246  246  237  288  254  227  235 10.509591 0.231063 SUCCESS   3
000001001  241  224  229  243  254  241  233  239  3.822007 0.872815 SUCCESS   4
000001011  270  261  247  273  290  261  246  247 17.782896 0.022914 SUCCESS   5
000001101  238  244  268  262  220  246  214  240 10.325296 0.242933 SUCCESS   6
000001111  247  235  256  225  236  224  249  229  5.600349 0.691899 SUCCESS   7
000010001  253  249  222  243  243  223  252  223  6.563133 0.584414 SUCCESS   8
000010011  244  238  244  262  263  242  250  236  3.467185 0.901721 SUCCESS   9
000010101  215  261  262  250  256  225  235  225 10.349657 0.241337 SUCCESS  10
000010111  262  240  247  246  229  242  253  228  3.899326 0.866090 SUCCESS  11
000011001  228  221  257  226  251  247  243  272  8.993922 0.342809 SUCCESS  12
000011011  222  224  259  259  217  252  207  277 19.462736 0.012572 SUCCESS  13
000011101  259  243  252  239  272  216  265  256 10.403675 0.237828 SUCCESS  14
000011111  242  210  236  237  205  230  234  230 14.057803 0.080271 SUCCESS  15
000100011  245  255  234  253  236  233  250  251  2.422846 0.965232 SUCCESS  16
000100101  252  247  240  214  244  261  235  244  5.774053 0.672524 SUCCESS  17
000100111  245  250  235  245  240  245  240  251  0.853160 0.999017 SUCCESS  18
000101001  230  236  269  223  242  244  243  235  6.014484 0.645609 SUCCESS  19
000101011  216  253  269  269  262  230  251  216 14.678475 0.065707 SUCCESS  20
000101101  245  246  245  240  261  253  239  228  2.846513 0.943617 SUCCESS  21
000101111  278  252  218  217  234  244  253  230 12.746553 0.120873 SUCCESS  22
000110011  244  241  244  239  248  258  232  249  1.755570 0.987610 SUCCESS  23
000110101  244  240  251  237  231  245  215  244  4.814447 0.777212 SUCCESS  24
000110111  227  236  236  249  233  235  222  261  6.060028 0.640508 SUCCESS  25
000111001  229  269  248  255  230  254  255  241  5.956229 0.652135 SUCCESS  26
000111011  265  245  248  278  235  227  255  249  8.971680 0.344691 SUCCESS  27
