		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  244  235  227  235  257  273  262  239  7.647720 0.468616 SUCCESS   0
000000011  231  244  232  211  268  269  250  259 12.121644 0.145858 SUCCESS   1
000000101  247  205  239  249  228  247  221  239 10.245859 0.248192 SUCCESS   2
000000111  237  226  216  253  264  245  245  268  9.386874 0.310718 SUCCESS   3
000001001  238  244  251  249  259  238  230  237  2.616674 0.956068 SUCCESS   4
000001011  241  253  227  256  221  235  241  228  5.976354 0.649881 SUCCESS   5
000001101  258  233  264  232  256  242  254  289 13.197759 0.105224 SUCCESS   6
000001111  231  230  209  255  244  228  246  250  8.566019 0.380217 SUCCESS   7
000010001  251  259  269  252  237  241  244  223  6.169122 0.628294 SUCCESS   8
000010011  238  240  246  258  237  233  224  231  4.246733 0.834204 SUCCESS   9
000010101  260  249  230  245  226  257  211  232  9.382637 0.311052 SUCCESS  10
000010111  243  250  251  250  229  237  241  279  6.876646 0.549998 SUCCESS  11
000011001  240  239  245  224  267  226  243  239  5.627887 0.688834 SUCCESS  12
000011011  239  248  259  242  259  248  233  272  5.948815 0.652965 SUCCESS  13
000011101  284  249  224  259  250  236  242  239 10.046735 0.261761 SUCCESS  14
000011111  222  247  227  262  243  228  242  250  5.977413 0.649762 SUCCESS  15
000100011  256  261  258  241  209  231  260  222 11.759409 0.162266 SUCCESS  16
000100101  248  229  240  248  272  252  230  250  5.714739 0.679150 SUCCESS  17
000100111  245  242  261  243  244  239  241  248  1.450530 0.993499 SUCCESS  18
000101001  203  220  236  236  272  248  231  234 14.710250 0.065030 SUCCESS  19
000101011  247  230  245  239  256  256  230  256  3.632416 0.888673 SUCCESS  20
000101101  232  246  249  234  226  260  249  242  3.752101 0.878769 SUCCESS  21
000101111  239  231  252  237  242  242  229  288 10.482053 0.232808 SUCCESS  22
000110011  253  242  265  246  240  245  273  262  7.175331 0.517839 SUCCESS  23
000110101  267  211  271  248  219  243  263  255 14.679534 0.065685 SUCCESS  24
000110111  227  260  240  256  232  244  232  253  4.559187 0.803483 SUCCESS  25
000111001  253  234  236  234  250  248  264  248  3.429055 0.904625 SUCCESS  26
000111011  266  237  227  261  231  221  233  230  9.056413 0.337559 SUCCESS  27
000111101  261  211  232  219  236  260  210  270 18.270113 0.019290 SUCCESS  28
000111111  223  232  219  239  239  255  260  236  7.259006 0.508963 SUCCESS  29
001000011  254  249  231  231  239  235  265  233  4.808092 0.777877 SUCCESS  30
001000101  230  232  250  248  260  256  259  258  5.096185 0.747248 SUCCESS  31
001000111  254  203  223  239  209  237  236  236 15.581945 0.048770 SUCCESS  32
001001011  239  247  228  232  262  248  238  249  3.547682 0.895458 SUCCESS  33
001001101  241  282  283  275  235  228  254  240 18.499952 0.017775 SUCCESS  34
001001111  260  259  237  254  256  244  235  234  4.017953 0.855500 SUCCESS  35
001010011  217  211  244  241  267  255  227  246 11.782711 0.161165 SUCCESS  36
001010101  224  254  227  244  245  231  221  233  6.894652 0.548041 SUCCESS  37
001010111  252  223  273  238  231  260  241  258  8.499291 0.386276 SUCCESS  38
001011011  243  245  219  229  266  272  241  227 10.255391 0.247556 SUCCESS  39
001011101  233  251  231  233  245  258  263  240  4.379129 0.821401 SUCCESS  40
001011111  235  250  246  216  248  240  230  293 14.966569 0.059799 SUCCESS  41
001100101  257  237  256  242  242  247  245  220  4.057142 0.851931 SUCCESS  42
001100111  244  244  263  243  241  238  264  250  3.534972 0.896459 SUCCESS  43
001101011  250  233  247  265  231  227  261  255  6.231613 0.621305 SUCCESS  44
001101101  237  268  238  236  247  256  258  230  5.362036 0.718273 SUCCESS  45
001101111  235  249  240  256  207  263  221  275 14.775919 0.063652 SUCCESS  46
001110101  264  244  233  251  255  211  241  226  8.981212 0.343883 SUCCESS  47
001110111  243  243  268  257  248  219  267  247  8.117991 0.422030 SUCCESS  48
001111011  235  252  211  217  242  253  247  262 10.122995 0.256499 SUCCESS  49
001111101  240  231  252  252  221  251  222  232  6.490050 0.592512 SUCCESS  50
001111111  218  224  214  254  241  243  258  236 10.007546 0.264497 SUCCESS  51
010000011  269  233  232  244  256  246  275  258  9.235413 0.322828 SUCCESS  52
010000111  279  236  231  239  242  249  233  248  6.981504 0.538630 SUCCESS  53
010001011  219  240  274  250  246  249  253  260  8.191073 0.415032 SUCCESS  54
010001111  268  225  241  246  222  259  226  237  8.639101 0.373649 SUCCESS  55
010010011  244  257  253  257  253  246  250  238  2.392130 0.966571 SUCCESS  56
010010111  246  262  247  239  248  244  257  255  2.781904 0.947290 SUCCESS  57
010011011  230  273  249  253  224  249  254  255  7.542863 0.479347 SUCCESS  58
010011111  255  242  245  248  235  239  239  237  1.377448 0.994561 SUCCESS  59
010100011  266  243  239  259  247  228  228  234  5.753928 0.674773 SUCCESS  60
010100111  231  206  243  240  252  240  230  239  8.256742 0.408801 SUCCESS  61
010101011  227  253  263  238  253  235  221  221  8.462220 0.389669 SUCCESS  62
010101111  248  244  261  270  218  255  215  241 11.134500 0.194194 SUCCESS  63
010110011  249  232  253  242  249  230  249  242  2.142167 0.976340 SUCCESS  64
010110111  230  264  219  224  258  259  226  211 14.702836 0.065188 SUCCESS  65
010111011  259  244  238  231  248  229  272  226  7.542863 0.479347 SUCCESS  66
010111111  229  238  246  256  237  242  240  279  7.199692 0.515249 SUCCESS  67
011000111  248  221  236  240  257  258  229  219  7.842607 0.448994 SUCCESS  68
011001111  258  261  236  244  230  244  260  232  4.837748 0.774769 SUCCESS  69
011010111  228  245  233  247  227  243  235  240  3.336908 0.911472 SUCCESS  70
011011111  237  241  233  251  212  257  223  272 11.238299 0.188559 SUCCESS  71
011101111  259  243  249  251  257  237  254  234  3.008566 0.933819 SUCCESS  72
011111111  236  225  218  234  232  257  245  264  8.157180 0.418269 SUCCESS  73
100000000  244  235  227  235  257  273  262  239  7.647720 0.468616 SUCCESS  74
100010000  244  235  230  235  248  240  261  239  3.004329 0.934086 SUCCESS  75
100100000  243  238  219  255  253  258  233  233  5.537858 0.698842 SUCCESS  76
100101000  233  259  238  259  247  259  237  260  4.813388 0.777323 SUCCESS  77
100110000  250  229  236  236  273  256  242  241  5.865141 0.662335 SUCCESS  78
100111000  248  228  251  233  275  250  222  250  8.294872 0.405209 SUCCESS  79
101000000  251  225  245  235  234  263  217  248  7.230408 0.511990 SUCCESS  80
101000100  252  254  250  253  234  225  269  265  7.607472 0.472721 SUCCESS  81
101001000  238  222  244  228  237  257  223  236  6.422263 0.600043 SUCCESS  82
101001100  255  242  254  242  247  260  240  231  2.857105 0.943002 SUCCESS  83
101010000  253  243  231  216  238  226  244  258  6.786617 0.559821 SUCCESS  84
101010100  252  264  225  233  250  246  265  250  6.163826 0.628887 SUCCESS  85
101011000  214  233  233  231  244  231  241  241  6.436032 0.598511 SUCCESS  86
101011100  239  238  244  239  246  263  259  272  6.135229 0.632087 SUCCESS  87
101100000  239  244  244  237  270  228  240  261  5.543154 0.698254 SUCCESS  88
101100100  255  241  235  252  230  250  266  252  4.439501 0.815455 SUCCESS  89
101101000  268  260  274  252  213  227  255  235 13.727343 0.089155 SUCCESS  90
101101100  236  238  219  237  235  238  245  229  4.812328 0.777434 SUCCESS  91
101110000  200  230  247  249  224  205  244  240 17.503275 0.025275 SUCCESS  92
101110100  233  248  247  222  248  230  254  238  4.177887 0.840728 SUCCESS  93
101111000  262  247  268  253  254  229  215  237  9.328619 0.315337 SUCCESS  94
101111100  227  258  243  251  222  277  254  264 11.003163 0.201520 SUCCESS  95
110000000  239  253  236  233  254  244  258  261  3.684315 0.884424 SUCCESS  96
110000010  262  249  218  233  251  222  228  216 11.597356 0.170093 SUCCESS  97
110000100  212  233  244  258  243  244  230  223  8.453747 0.390447 SUCCESS  98
110001000  240  226  250  217  241  243  239  247  4.920363 0.766053 SUCCESS  99
