		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  240  241  208  236  251  246  222  229  9.180336 0.327312 SUCCESS   0
000000011  240  259  248  264  233  242  247  251  3.525440 0.897206 SUCCESS   1
000000101  240  222  223  244  243  250  229  227  6.400021 0.602517 SUCCESS   2
000000111  250  252  228  276  248  225  227  248  8.734426 0.365192 SUCCESS   3
000001001  230  257  255  268  236  221  274  252 11.052944 0.198717 SUCCESS   4
000001011  228  236  241  234  251  266  241  248  4.189538 0.839630 SUCCESS   5
000001101  235  257  260  229  224  239  248  233  5.507142 0.702249 SUCCESS   6
000001111  249  278  238  262  238  229  214  254 11.861089 0.157510 SUCCESS   7
000010001  238  254  250  251  259  232  260  260  4.614264 0.797895 SUCCESS   8
000010011  255  235  264  254  239  241  267  250  5.456302 0.707876 SUCCESS   9
000010101  278  234  231  251  240  252  238  238  6.878764 0.549768 SUCCESS  10
000010111  242  241  222  237  263  266  243  245  5.894798 0.659015 SUCCESS  11
000011001  246  229  252  260  227  252  253  212  8.525770 0.383864 SUCCESS  12
000011011  233  244  220  233  245  250  233  256  4.785849 0.780200 SUCCESS  13
000011101  264  257  238  236  252  258  255  249  4.494578 0.809975 SUCCESS  14
000011111  234  239  223  263  228  246  243  250  5.213753 0.734505 SUCCESS  15
000100011  257  262  252  218  237  231  234  268  9.004514 0.341915 SUCCESS  16
000100101  264  256  266  234  254  232  218  277 13.239066 0.103885 SUCCESS  17
000100111  248  237  251  244  262  211  267  227  9.940818 0.269204 SUCCESS  18
000101001  260  233  278  248  225  251  244  264  9.940818 0.269204 SUCCESS  19
000101011  279  266  253  259  228  244  236  231 10.562550 0.227738 SUCCESS  20
000101101  230  257  239  247  235  233  243  248  2.639975 0.954884 SUCCESS  21
000101111  260  245  226  229  249  242  251  224  5.467953 0.706588 SUCCESS  22
000110011  249  231  262  257  233  261  239  212  9.100898 0.333856 SUCCESS  23
000110101  255  262  253  224  254  239  240  246  4.515761 0.807854 SUCCESS  24
000110111  224  244  225  228  241  225  245  242  5.980590 0.649406 SUCCESS  25
000111001  243  225  223  253  253  224  251  226  7.421058 0.491958 SUCCESS  26
000111011  250  267  240  225  244  259  247  257  5.659662 0.685294 SUCCESS  27
000111101  265  242  247  251  258  233  232  262  5.417113 0.712205 SUCCESS  28
000111111  246  237  237  248  230  249  243  236  1.739683 0.987979 SUCCESS  29
001000011  264  247  240  225  238  223  258  244  6.195601 0.625332 SUCCESS  30
001000101  264  259  252  227  245  247  255  238  4.814447 0.777212 SUCCESS  31
001000111  258  273  240  233  257  234  246  284 12.832346 0.117750 SUCCESS  32
001001011  242  240  273  247  245  248  229  247  4.729713 0.786035 SUCCESS  33
001001101  245  208  253  237  238  262  268  268 12.423507 0.133285 SUCCESS  34
001001111  239  237  244  236  240  215  271  218 10.223616 0.249681 SUCCESS  35
001010011  233  246  246  244  249  250  229  266  3.797646 0.874903 SUCCESS  36
001010101  245  225  242  259  251  260  244  223  5.668136 0.684349 SUCCESS  37
001010111  261  241  234  221  258  239  263  242  6.403198 0.602164 SUCCESS  38
001011011  239  283  261  241  238  215  237  220 14.195495 0.076810 SUCCESS  39
001011101  229  243  220  233  238  257  243  255  5.332380 0.721532 SUCCESS  40
001011111  239  228  241  234  265  233  222  240  6.205134 0.624266 SUCCESS  41
001100101  227  225  244  242  226  259  229  250  6.255974 0.618583 SUCCESS  42
001100111  256  199  273  253  231  258  238  221 17.060543 0.029485 SUCCESS  43
001101011  215  238  266  230  236  263  236  231  9.423944 0.307803 SUCCESS  44
001101101  240  231  265  237  280  252  260  248  9.709920 0.285979 SUCCESS  45
001101111  230  250  224  259  250  243  250  245  3.945929 0.861969 SUCCESS  46
001110101  255  243  245  254  239  243  250  238  1.344613 0.994997 SUCCESS  47
001110111  239  242  244  249  254  235  239  253  1.442057 0.993629 SUCCESS  48
001111011  252  256  246  245  239  267  229  263  5.685083 0.682459 SUCCESS  49
001111101  253  268  252  227  233  243  251  238  5.142789 0.742211 SUCCESS  50
001111111  265  243  238  236  234  246  237  238  3.113423 0.927039 SUCCESS  51
010000011  241  272  238  253  248  246  241  261  5.152321 0.741179 SUCCESS  52
010000111  249  263  240  233  258  243  253  235  3.713971 0.881964 SUCCESS  53
010001011  243  241  261  243  257  241  255  229  3.472481 0.901315 SUCCESS  54
010001111  248  268  254  248  263  230  260  268  8.792680 0.360086 SUCCESS  55
010010011  264  233  262  250  223  235  272  283 15.635963 0.047897 SUCCESS  56
010010111  220  230  249  242  252  225  252  253  5.839721 0.665180 SUCCESS  57
010011011  250  233  265  249  251  236  265  265  6.789794 0.559473 SUCCESS  58
010011111  236  229  223  208  219  242  264  242 13.054771 0.109979 SUCCESS  59
010100011  250  242  247  230  265  224  260  224  7.391402 0.495051 SUCCESS  60
010100111  233  231  216  234  240  264  236  261  8.271570 0.407402 SUCCESS  61
010101011  227  231  239  235  252  250  248  231  3.638771 0.888157 SUCCESS  62
010101111  241  260  237  226  251  242  273  249  6.568428 0.583828 SUCCESS  63
010110011  223  249  239  256  238  234  253  253  3.960758 0.860647 SUCCESS  64
010110111  236  253  249  266  234  234  241  236  3.931101 0.863286 SUCCESS  65
010111011  251  250  221  231  248  255  258  241  4.763607 0.782518 SUCCESS  66
010111111  241  221  230  232  278  252  251  234  9.534098 0.299259 SUCCESS  67
011000111  236  248  233  214  228  237  228  243  7.136142 0.522018 SUCCESS  68
011001111  257  214  274  238  228  251  234  235 10.576319 0.226880 SUCCESS  69
011010111  246  221  245  239  244  252  251  220  5.323906 0.722462 SUCCESS  70
011011111  241  240  253  256  234  238  249  245  1.741801 0.987930 SUCCESS  71
011101111  247  259  252  233  245  218  268  238  7.228290 0.512214 SUCCESS  72
011111111  229  232  249  250  256  223  248  248  4.454330 0.813985 SUCCESS  73
100000000  240  241  208  236  251  246  222  229  9.180336 0.327312 SUCCESS  74
100010000  231  246  264  238  268  223  250  238  7.188041 0.516487 SUCCESS  75
100100000  246  242  232  239  246  264  243  255  2.963022 0.936657 SUCCESS  76
100101000  240  275  242  235  228  250  240  239  5.913863 0.656880 SUCCESS  77
100110000  256  246  241  261  259  236  241  239  3.229932 0.919110 SUCCESS  78
100111000  243  229  221  256  234  237  255  231  5.717917 0.678795 SUCCESS  79
101000000  237  239  251  254  231  259  210  240  7.612768 0.472180 SUCCESS  80
101000100  260  258  251  237  251  234  220  246  5.413936 0.712555 SUCCESS  81
101001000  271  252  248  249  223  242  252  267  7.876500 0.445626 SUCCESS  82
101001100  247  237  259  259  227  253  233  250  4.371715 0.822126 SUCCESS  83
101010000  245  251  210  261  254  263  209  244 13.493267 0.095967 SUCCESS  84
101010100  241  233  249  248  249  236  241  249  1.252466 0.996096 SUCCESS  85
101011000  252  262  251  260  225  279  259  239 10.635632 0.223211 SUCCESS  86
101011100  242  216  252  239  258  241  233  238  5.284717 0.726757 SUCCESS  87
101100000  277  242  232  282  245  249  268  263 15.326686 0.053096 SUCCESS  88
101100100  270  247  274  249  240  267  266  233 11.594179 0.170250 SUCCESS  89
101101000  270  262  263  229  259  256  234  258  9.453601 0.305486 SUCCESS  90
101101100  237  275  251  226  233  245  247  245  6.411672 0.601221 SUCCESS  91
101110000  230  257  258  247  256  236  234  224  5.425586 0.711270 SUCCESS  92
101110100  250  233  245  245  233  238  221  258  4.441620 0.815245 SUCCESS  93
101111000  231  250  244  243  239  233  217  215  8.228144 0.411508 SUCCESS  94
101111100  241  244  238  245  245  239  244  248  0.381830 0.999952 SUCCESS  95
110000000  257  242  246  271  248  219  248  236  6.877705 0.549883 SUCCESS  96
110000010  230  256  247  251  253  233  279  256  8.286398 0.406006 SUCCESS  97
110000100  261  267  245  261  241  243  230  254  5.938224 0.654152 SUCCESS  98
110001000  260  245  259  208  256  220  269  243 13.227416 0.104261 SUCCESS  99
110001010  250  258  270  289  238  257  243  235 13.549403 0.094293 SUCCESS 100
110010000  260  253  239  231  250  257  263  249  4.701116 0.788991 SUCCESS 101
110010010  270  220  275  226  237  217  271  257 17.827381 0.022559 SUCCESS 102
110010100  248  268  213  238  210  239  268  252 14.464523 0.070433 SUCCESS 103
110011000  245  230  251  244  226  235  255  228  4.396075 0.819738 SUCCESS 104
110011010  233  241  231  251  251  254  231  234  3.273358 0.916050 SUCCESS 105
110100000  244  243  257  249  239  227  233  265  4.532708 0.806152 SUCCESS 106
110100010  263  245  266  238  264  236  238  245  5.814301 0.668024 SUCCESS 107
110100100  254  249  237  232  241  242  235  264  3.438588 0.903903 SUCCESS 108
110101000  230  254  237  254  266  252  242  228  5.297427 0.725365 SUCCESS 109
110101010  223  239  246  224  250  226  245  257  5.976354 0.649881 SUCCESS 110
110101100  251  239  238  251  231  273  243  248  5.001919 0.757371 SUCCESS 111
110110000  260  239  237  241  217  230  262  258  7.567223 0.476843 SUCCESS 112
110110010  249  266  253  242  231  263  274  246  8.516238 0.384732 SUCCESS 113
110110100  263  244  233  222  270  255  246  246  7.475076 0.486346 SUCCESS 114
110111000  235  271  252  246  245  243  233  260  5.291072 0.726061 SUCCESS 115
110111010  229  252  238  238  249  248  233  260  3.306192 0.913700 SUCCESS 116
110111100  271  241  244  254  233  224  229  232  7.346917 0.499707 SUCCESS 117
111000000  213  258  219  249  228  226  233  222 12.786802 0.119399 SUCCESS 118
111000010  246  249  265  245  243  235  223  248  4.277449 0.831264 SUCCESS 119
111000100  277  243  258  192  263  235  231  254 19.916059 0.010658 SUCCESS 120
111000110  249  247  246  208  211  238  217  222 15.678330 0.047223 SUCCESS 121
111001000  219  254  233  210  276  230  253  243 14.034501 0.080871 SUCCESS 122
111001010  233  256  228  246  241  244  259  252  3.479895 0.900744 SUCCESS 123
111001100  233  202  227  265  247  237  253  238 11.873799 0.156924 SUCCESS 124
111010000  246  214  264  244  246  247  251  270  8.620036 0.375355 SUCCESS 125
111010010  242  252  236  252  249  230  250  259  2.853927 0.943187 SUCCESS 126
111010100  235  247  246  259  269  261  224  254  7.297136 0.504940 SUCCESS 127
111010110  242  249  223  259  218  252  244  245  6.105572 0.635407 SUCCESS 128
111011000  263  248  257  232  247  239  272  263  7.845785 0.448678 SUCCESS 129
111011010  261  242  219  212  271  242  256  262 13.302616 0.101853 SUCCESS 130
111011100  216  264  233  272  248  261  241  233 10.676940 0.220685 SUCCESS 131
111100000  219  268  246  251  236  243  257  210 11.225589 0.189242 SUCCESS 132
111100010  256  241  238  236  248  248  258  222  4.094213 0.848525 SUCCESS 133
111100100  227  240  241  214  261  225  252  236  8.499291 0.386276 SUCCESS 134
111100110  233  203  239  245  263  250  250  249  9.706742 0.286215 SUCCESS 135
111101000  246  233  263  233  262  258  248  252  5.068647 0.750214 SUCCESS 136
111101010  224  234  240  244  251  233  231  236  3.956521 0.861025 SUCCESS 137
111101100  254  240  260  228  234  231  261  262  6.378837 0.604876 SUCCESS 138
111101110  219  268  235  255  245  227  253  214 11.367517 0.181732 SUCCESS 139
111110000  248  244  245  231  227  251  271  248  5.363096 0.718156 SUCCESS 140
111110010  212  254  244  230  248  218  256  248  9.247063 0.321885 SUCCESS 141
111110100  265  261  235  232  236  259  265  252  7.354331 0.498930 SUCCESS 142
111110110  267  255  246  251  246  240  255  240  3.593226 0.891835 SUCCESS 143
111111000  252  209  240  214  228  237  271  226 15.175225 0.055827 SUCCESS 144
111111010  242  253  245  247  222  283  258  242  9.702506 0.286530 SUCCESS 145
111111100  254  229  270  232  243  231  256  236  6.454038 0.596510 SUCCESS 146
111111110  229  232  249  250  256  223  249  248  4.491401 0.810293 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  250  266  252  262  260  234  271  279 13.504917 0.095618 SUCCESS   0
000000011  240  245  235  265  232  226  256  279 10.039321 0.262277 SUCCESS   1
000000101  227  237  301  227  271  268  269  273 28.033520 0.000468 FAILURE   2
000000111  215  242  248  260  228  259  253  270  9.953528 0.268303 SUCCESS   3
000001001  236  253  233  259  235  247  237  251  2.878288 0.941762 SUCCESS   4
000001011  229  245  274  226  263  249  265  264 11.275370 0.186579 SUCCESS   5
000001101  253  266  239  235  260  206  258  218 13.758059 0.088294 SUCCESS   6
000001111  237  238  230  248  216  292  249  240 14.517482 0.069235 SUCCESS   7
000010001  242  250  235  239  240  238  252  228  2.224782 0.973333 SUCCESS   8
000010011  216  222  227  244  236  268  257  277 14.643523 0.066459 SUCCESS   9
000010101  237  255  250  230  268  252  246  259  5.337676 0.720950 SUCCESS  10
000010111  228  234  254  230  238  245  250  257  3.805060 0.874269 SUCCESS  11
000011001  239  269  239  227  251  246  244  278  9.163389 0.328701 SUCCESS  12
000011011  270  280  229  233  253  250  261  227 12.711601 0.122165 SUCCESS  13
000011101  227  225  237  260  253  239  252  223  6.673286 0.572257 SUCCESS  14
000011111  251  230  260  238  242  273  255  231  7.054586 0.530755 SUCCESS  15
000100011  229  250  229  232  220  233  255  267  8.415617 0.393959 SUCCESS  16
000100101  256  233  255  234  218  205  245  244 11.437422 0.178124 SUCCESS  17
000100111  237  247  239  255  235  245  232  260  2.909004 0.939937 SUCCESS  18
000101001  244  264  261  242  263  261  254  236  6.307873 0.612788 SUCCESS  19
000101011  248  244  237  254  260  264  222  248  5.570692 0.695196 SUCCESS  20
000101101  252  231  267  256  249  232  230  233  5.900094 0.658422 SUCCESS  21
000101111  233  233  245  229  257  261  233  239  4.565542 0.802841 SUCCESS  22
000110011  238  247  237  245  247  250  253  245  0.930479 0.998651 SUCCESS  23
000110101  260  230  238  241  237  237  232  223  5.056996 0.751467 SUCCESS  24
000110111  245  248  234  236  253  235  241  261  2.715176 0.950942 SUCCESS  25
000111001  221  248  228  256  209  265  247  225 12.686181 0.123113 SUCCESS  26
000111011  231  266  250  261  248  249  267  238  6.649984 0.574824 SUCCESS  27
000111101  262  258  261  249  213  252  242  272 11.154624 0.193091 SUCCESS  28
000111111  217  250  246  253  262  235  253  253  5.985886 0.648813 SUCCESS  29
001000011  242  223  242  234  227  251  239  255  4.418318 0.817548 SUCCESS  30
001000101  231  256  285  237  249  262  224  224 13.507036 0.095554 SUCCESS  31
001000111  237  252  230  236  246  251  244  275  5.856668 0.663283 SUCCESS  32
001001011  241  226  256  220  255  233  239  242  5.652248 0.686120 SUCCESS  33
001001101  255  246  243  244  221  261  239  237  4.319815 0.827178 SUCCESS  34
001001111  244  224  246  273  244  233  272  249  9.180336 0.327312 SUCCESS  35
001010011  248  246  251  233  265  246  243  255  3.170618 0.923198 SUCCESS  36
001010101  226  236  253  221  239  255  231  248  5.676609 0.683404 SUCCESS  37
001010111  234  223  233  252  263  267  207  218 15.569235 0.048977 SUCCESS  38
001011011  233  237  267  235  269  233  237  221  8.935668 0.347752 SUCCESS  39
001011101  229  232  248  252  252  195  216  238 15.915583 0.043604 SUCCESS  40
001011111  235  216  230  209  256  263  237  248 12.161893 0.144125 SUCCESS  41
001100101  247  275  245  235  234  235  251  241  5.458421 0.707642 SUCCESS  42
001100111  246  241  222  267  232  233  248  258  6.373541 0.605466 SUCCESS  43
001101011  246  213  223  243  244  232  233  238  7.321497 0.502376 SUCCESS  44
001101101  237  258  252  247  226  225  242  233  4.813388 0.777323 SUCCESS  45
001101111  235  246  247  229  254  262  237  250  3.500020 0.899188 SUCCESS  46
001110101  251  249  245  232  239  238  245  248  1.264117 0.995967 SUCCESS  47
001110111  245  237  256  259  261  259  239  270  6.844871 0.553459 SUCCESS  48
001111011  249  263  241  244  223  238  255  254  4.615323 0.797788 SUCCESS  49
001111101  290  260  273  260  217  235  256  252 18.914087 0.015326 SUCCESS  50
001111111  227  236  241  262  246  237  249  250  3.394103 0.907251 SUCCESS  51
